city,city_cleansed
AGINCOURT,AGINCOURT
AJAX,AJAX
AURORA,AURORA
BEETON,BEETON
BOLTON,BOLTON
BOND HEAD,BOND HEAD
BRADFORD,BRADFORD WEST GWILLIMBURY
BRADFORD WEST GWILLIMBURY,BRADFORD WEST GWILLIMBURY
BRAMPTON,BRAMPTON
BROOKLIN,WHITBY
CALEDON,CALEDON
CALEDON EAST,CALEDON
CENTRE ISLAND,CENTRE ISLAND
CLARKSON,CLARKSON
CONCORD,CONCORD
DON MILLS,DON MILLS
DOWNSVIEW,DOWNSVIEW
EAST GWILLIMBURRY,EAST GWILLIMBURY
EAST GWILLIMBURY,EAST GWILLIMBURY
EAST YORK,EAST YORK
ETIBICOKE,ETOBICOKE
ETOBICOKE,ETOBICOKE
ETOBIICOKE,ETOBICOKE
GEORGETOWN,HALTON HILLS
GLEN WILLIAMS,HALTON HILLS
GOODWOOD,GOODWOOD
GORMLEY,YORK
HALTON HILLS,HALTON HILLS
HOLLAND LANDING,EAST GWILLIMBURY
INGLEWOOD,INGLEWOOD
KING,KING
KING CITY,KING
KLEINBURG,VAUGHAN
LESLIEVILLE,LESLIEVILLE
MALTON,MALTON
MAPLE,VAUGHAN
MARKHAM,MARKHAM
MILTON,MILTON
MISSISAUGA,MISSISSAUGA
MISSISSAUGA,MISSISSAUGA
MISSISSUAGA,MISSISSAUGA
MOUNT ALBERT,EAST GWILLIMBURY
NEWMARKET,NEWMARKET
NOBLETON,KING
NORTH  YORK,YORK
NORTH TORONTO,TORONTO
NORTH YORK,YORK
OAK RIDGES,RICHMOND HILL
OAKRIDGES,RICHMOND HILL
OAKVILE,OAKVILLE
OAKVILLE,OAKVILLE
PICKERING,PICKERING
PORT CREDIT,PORT CREDIT
REXDALE,ETOBICOKE
RICHMOND HIL,RICHMOND HILL
RICHMOND HILL,RICHMOND HILL
RIVER DRIVE PARK,EAST GWILLIMBURY
SCARBOROUGH,SCARBOROUGH
SCAROBROUGH,SCARBOROUGH
SCHOMBERG,KING
SHARON,EAST GWILLIMBURY
STOUFFVILLE,WHITCHURCH-STOUFFVILLE
THORNCLIFFE PARK,TORONTO
THORNHIL,THORNHILL
THORNHILL,THORNHILL
TORNTO,TORONTO
TORONTO,TORONTO
TOTTENHAM,TOTTENHAM
UNIONVILLE,MARKHAM
UXBRIDGE,UXBRIDGE
VAUGHAN,VAUGHAN
WATERLOO,WATERLOO
WHITBY,WHITBY
WHITCHURCH-STOUFFVILLE,WHITCHURCH-STOUFFVILLE
WHTIBY,WHITBY
WILLOWDALE,WILLOWDALE
WOODBRIDGE,VAUGHAN
YORK,YORK
